1.30E-01	1.79E+05	5.82E+03	0.0326
2.05E-01	1.78E+05	0.00E+00	0
3.26E-01	1.87E+05	2.41E+04	0.129
5.17E-01	1.88E+05	1.00E+03	0.00533
8.20E-01	1.86E+05	1.77E+03	0.00948
1.30E+00	1.86E+05	2.75E+02	0.00148
2.05E+00	1.87E+05	1.63E+03	0.0087
3.26E+00	1.88E+05	1.54E+03	0.00816
5.17E+00	1.91E+05	2.11E+03	0.011
8.20E+00	1.96E+05	1.66E+03	0.00848
1.30E+01	2.10E+05	1.47E+03	0.00698

2.00E-01	1.58E+05	2.62E+03	0.0166
3.16E-01	1.79E+05	1.23E+04	0.0689
5.02E-01	1.89E+05	4.04E+02	0.00214
7.96E-01	1.83E+05	8.38E+03	0.0456
1.26E+00	1.80E+05	3.10E+03	0.0172
2.00E+00	1.82E+05	1.08E+03	0.00592
3.16E+00	1.83E+05	2.28E+03	0.0124
5.02E+00	1.83E+05	1.45E+03	0.00791
7.96E+00	1.83E+05	1.51E+03	0.00823
1.26E+01	1.85E+05	1.34E+03	0.00727
2.00E+01	1.87E+05	1.07E+03	0.0057

3.00E-01	1.87E+05	1.31E+04	0.0703
4.74E-01	1.83E+05	1.32E+04	0.072
7.53E-01	1.81E+05	7.44E+03	0.0411
1.19E+00	1.83E+05	5.25E+03	0.0287
1.89E+00	1.86E+05	4.69E+03	0.0252
3.00E+00	1.79E+05	2.44E+03	0.0137
4.74E+00	1.86E+05	1.52E+03	0.00821
7.53E+00	1.84E+05	1.42E+03	0.0077
1.19E+01	1.85E+05	1.83E+03	0.00994
1.89E+01	1.85E+05	1.67E+03	0.00901
3.00E+01	1.87E+05	1.53E+03	0.00819

5.00E-01	1.80E+05	0.00E+00	0
7.90E-01	1.78E+05	8.52E+03	0.0478
1.26E+00	1.74E+05	6.00E+03	0.0345
1.99E+00	1.79E+05	3.97E+03	0.0222
3.16E+00	1.84E+05	1.37E+03	0.00745
5.00E+00	1.80E+05	8.67E+02	0.00482
7.90E+00	1.81E+05	1.77E+03	0.00977
1.26E+01	1.82E+05	2.00E+03	0.011
1.99E+01	1.83E+05	2.47E+03	0.0135
3.16E+01	1.84E+05	2.79E+03	0.0152
5.00E+01	1.91E+05	2.62E+03	0.0137

1.00E+00	1.74E+05	2.95E+03	0.0169
1.58E+00	1.74E+05	4.67E+03	0.0269
2.51E+00	1.73E+05	0.00E+00	0
3.98E+00	1.77E+05	2.73E+03	0.0154
6.31E+00	1.80E+05	1.72E+03	0.00958
1.00E+01	1.79E+05	2.79E+03	0.0156
1.58E+01	1.81E+05	2.07E+03	0.0114
2.51E+01	1.80E+05	2.53E+03	0.0141
3.98E+01	1.82E+05	2.97E+03	0.0164
6.31E+01	1.83E+05	3.35E+03	0.0183
1.00E+02	1.90E+05	3.62E+03	0.0191

1.80E+00	1.72E+05	8.61E+03	0.0501
2.84E+00	1.83E+05	0.00E+00	0
4.52E+00	1.78E+05	3.52E+03	0.0198
7.16E+00	1.81E+05	3.52E+03	0.0195
1.14E+01	1.82E+05	1.45E+03	0.00799
1.80E+01	1.81E+05	1.91E+03	0.0105
2.84E+01	1.81E+05	2.85E+03	0.0158
4.52E+01	1.83E+05	3.20E+03	0.0175
7.16E+01	1.86E+05	4.02E+03	0.0216
1.14E+02	1.90E+05	5.06E+03	0.0266
1.80E+02	2.01E+05	5.56E+03	0.0277

3.50E+00	1.70E+05	2.71E+04	0.16
5.53E+00	1.80E+05	0.00E+00	0
8.79E+00	1.73E+05	6.70E+03	0.0388
1.39E+01	1.81E+05	1.06E+03	0.00588
2.21E+01	1.78E+05	2.00E+03	0.0112
3.50E+01	1.78E+05	3.19E+03	0.018
5.53E+01	1.79E+05	4.28E+03	0.0239
8.79E+01	1.81E+05	4.51E+03	0.0249
1.39E+02	1.84E+05	5.58E+03	0.0303
2.21E+02	1.92E+05	6.55E+03	0.034
3.50E+02	2.10E+05	7.89E+03	0.0375

8.00E+00	1.75E+05	5.52E+03	0.0316
1.26E+01	1.70E+05	0.00E+00	0
2.01E+01	1.72E+05	1.87E+03	0.0109
3.18E+01	1.77E+05	4.15E+03	0.0234
5.05E+01	1.80E+05	4.33E+03	0.0241
8.00E+01	1.82E+05	4.67E+03	0.0257
1.26E+02	1.81E+05	5.66E+03	0.0312
2.01E+02	1.84E+05	6.72E+03	0.0365
3.18E+02	1.88E+05	8.16E+03	0.0435
5.05E+02	1.96E+05	1.00E+04	0.0513
8.00E+02	2.12E+05	1.26E+04	0.0594

1.40E+01	1.84E+05	0.00E+00	0
2.21E+01	1.82E+05	6.28E+03	0.0346
3.51E+01	1.89E+05	0.00E+00	0
5.57E+01	1.86E+05	2.93E+03	0.0157
8.83E+01	1.86E+05	6.35E+03	0.0342
1.40E+02	1.87E+05	5.79E+03	0.031
2.21E+02	1.87E+05	7.64E+03	0.0408
3.51E+02	1.91E+05	9.12E+03	0.0477
5.57E+02	1.97E+05	1.09E+04	0.0554
8.83E+02	2.05E+05	1.32E+04	0.0643
1.40E+03	2.25E+05	1.68E+04	0.0747

2.80E+01	1.84E+05	0.00E+00	0
4.42E+01	1.76E+05	1.51E+03	0.00859
7.03E+01	1.84E+05	5.54E+03	0.0301
1.11E+02	1.84E+05	3.63E+03	0.0197
1.77E+02	1.85E+05	6.93E+03	0.0374
2.80E+02	1.89E+05	7.23E+03	0.0383
4.42E+02	1.90E+05	9.62E+03	0.0506
7.03E+02	1.93E+05	1.11E+04	0.0575
1.11E+03	1.97E+05	1.34E+04	0.0677
