1.80E-01	7.36E+04	7.46E+04	1.01
2.84E-01	1.20E+05	7.20E+04	0.598
4.52E-01	1.18E+05	1.05E+05	0.887
7.16E-01	1.66E+05	1.01E+05	0.607
1.14E+00	1.97E+05	1.11E+05	0.565
1.80E+00	2.38E+05	1.25E+05	0.523
2.84E+00	2.81E+05	1.28E+05	0.456
4.52E+00	3.30E+05	1.25E+05	0.377
7.16E+00	3.73E+05	1.11E+05	0.299
1.14E+01	4.09E+05	9.31E+04	0.228
1.80E+01	4.39E+05	7.46E+04	0.17

2.60E-01	7.65E+04	5.68E+04	0.743
4.11E-01	1.32E+05	7.29E+04	0.551
6.53E-01	1.69E+05	9.50E+04	0.562
1.03E+00	1.89E+05	1.16E+05	0.615
1.64E+00	2.31E+05	1.25E+05	0.542
2.60E+00	2.73E+05	1.30E+05	0.477
4.11E+00	3.23E+05	1.27E+05	0.392
6.53E+00	3.64E+05	1.15E+05	0.316
1.03E+01	4.00E+05	9.67E+04	0.242
1.64E+01	4.29E+05	7.75E+04	0.181
2.60E+01	4.54E+05	6.02E+04	0.133

4.00E-01	1.33E+05	9.23E+04	0.696
6.32E-01	1.61E+05	1.03E+05	0.639
1.00E+00	1.93E+05	1.04E+05	0.541
1.59E+00	2.32E+05	1.27E+05	0.549
2.52E+00	2.63E+05	1.34E+05	0.508
4.00E+00	3.20E+05	1.26E+05	0.394
6.32E+00	3.59E+05	1.15E+05	0.319
1.00E+01	3.96E+05	9.75E+04	0.246
1.59E+01	4.23E+05	7.79E+04	0.184
2.52E+01	4.43E+05	5.98E+04	0.135
4.00E+01	4.63E+05	4.54E+04	0.0982

7.00E-01	1.58E+05	1.16E+05	0.738
1.11E+00	1.23E+05	1.07E+05	0.874
1.76E+00	2.22E+05	1.09E+05	0.492
2.79E+00	2.69E+05	1.23E+05	0.457
4.42E+00	3.14E+05	1.26E+05	0.402
7.00E+00	3.57E+05	1.13E+05	0.316
1.11E+01	3.93E+05	9.70E+04	0.247
1.76E+01	4.19E+05	7.74E+04	0.185
2.79E+01	4.38E+05	5.86E+04	0.134
4.42E+01	4.51E+05	4.45E+04	0.0987
7.00E+01	4.67E+05	3.44E+04	0.0738

1.00E+00	1.86E+05	3.93E+04	0.211
1.58E+00	2.20E+05	1.06E+05	0.48
2.51E+00	2.32E+05	1.30E+05	0.559
3.98E+00	3.20E+05	1.27E+05	0.398
6.31E+00	3.53E+05	1.19E+05	0.336
1.00E+01	3.92E+05	9.47E+04	0.242
1.58E+01	4.22E+05	7.54E+04	0.179
2.51E+01	4.34E+05	5.82E+04	0.134
3.98E+01	4.48E+05	4.36E+04	0.0974
6.31E+01	4.56E+05	3.39E+04	0.0742
1.00E+02	4.70E+05	2.77E+04	0.059

1.90E+00	2.05E+05	1.42E+05	0.692
3.00E+00	2.92E+05	1.45E+05	0.497
4.77E+00	3.23E+05	1.24E+05	0.383
7.56E+00	3.61E+05	1.03E+05	0.286
1.20E+01	4.00E+05	8.63E+04	0.215
1.90E+01	4.24E+05	7.28E+04	0.172
3.00E+01	4.36E+05	5.77E+04	0.132
4.77E+01	4.48E+05	4.32E+04	0.0964
7.56E+01	4.51E+05	3.27E+04	0.0724
1.20E+02	4.63E+05	2.77E+04	0.0597
1.90E+02	4.71E+05	2.49E+04	0.0528

3.40E+00	2.82E+05	1.30E+05	0.46
5.37E+00	3.19E+05	1.07E+05	0.334
8.53E+00	3.65E+05	1.04E+05	0.286
1.35E+01	3.93E+05	8.67E+04	0.221
2.15E+01	4.21E+05	7.61E+04	0.181
3.40E+01	4.40E+05	5.65E+04	0.128
5.37E+01	4.45E+05	4.16E+04	0.0934
8.53E+01	4.57E+05	3.30E+04	0.0722
1.35E+02	4.62E+05	2.76E+04	0.0597
2.15E+02	4.67E+05	2.60E+04	0.0556
3.40E+02	4.80E+05	2.69E+04	0.056

6.20E+00	3.05E+05	8.81E+04	0.289
9.80E+00	3.84E+05	1.02E+05	0.266
1.56E+01	4.07E+05	9.05E+04	0.223
2.47E+01	4.28E+05	7.90E+04	0.185
3.91E+01	4.48E+05	5.30E+04	0.118
